Title,Legislature,Sponsor,Type,Amendments,Document,Reading,Date,Status,Transcript
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,1R,"Oct 30, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231030_1500_01_han.pdf#page=10
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,2R,"Nov 1, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231101_1330_01_han.pdf#page=17
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,2R,"Nov 2, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231102_1330_01_han.pdf#page=22
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,CW,"Nov 7, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=17
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,3R,"Nov 7, 2023 pm",passed on division,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=19
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,RA,"Dec 7, 2023",outside of House sitting,
"Alberta Taxpayer Protection Amendment Act, 2023","Legislature 31, Session 1",Smith,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-001.pdf,CF,"on December 7, 2023", SA 2023 c6,
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,1R,"Nov 2, 2023 pm",passed,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231102_1330_01_han.pdf#page=15
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,2R,"Nov 7, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231107_1330_01_han.pdf#page=26
Alberta Pension Protection Act,"Legislature 31, Session 1",Horner,Government Bills,No,https://docs.assembly.ab.ca/LADDAR_files/docs/bills/bill/legislature_31/session_1/20230530_bill-002.pdf,2R,"Nov 21, 2023 pm",,https://docs.assembly.ab.ca/LADDAR_files/docs/hansards/han/legislature_31/session_1/20231121_1330_01_han.pdf#page=26
