chapter_name,chapter_type,street_address,city,state,zip_code,phone,email,website,state_name
The Arc of Alabama,State,557 S. Lawrence Street,Montgomery,AL,36104-4611,(334) 262-7688,tim@thearcofal.org,http://www.thearcofal.org,Alabama
ARC- Baldwin County,Local,PO Box 400,Loxley,AL,36551-0400,(251) 964-4451,kathyfleet@arcbaldwin.com,,Alabama
Athens – Limestone Arc,Local,557 South Lawrence Street,Athens,AL,36104,(256)-614-3948,rdlegg@bellsouth.net,,Alabama
AWE Arc Autauga and Western Elmore Counties,Local,PO Box 681952,Prattville,AL,36068-1952,(334) 365-4054,jess.butrica@awearc.org,http://www.awearc.org,Alabama
Marshall County Arc,Local,5104 Porter Harvey Dr,Guntersville,AL,35976-6749,(256) 582-5009,ahughes_mcarc@hotmail.com,,Alabama
Montgomery Arc,Local,527 Buckingham Dr,Montgomery,AL,36116-2738,(334) 281-6938,marcexdir@montgomeryarc.net,,Alabama
Randolph County Arc,Local,PO Box 127,Roanoke,AL,36274-0127,(334) 863-8991,rclc@teleclipse.net,,Alabama
South Talladega Arc,Local,PO Box 360,Sylacauga,AL,35150-0360,(256) 249-0391,allen.southdegaarc@gmail.com,,Alabama
The Arc of Central Alabama,Local,6001 Crestwood Blvd.,Birmingham,AL,35212,(205) 323-6383,stewart@arcofcentralalabama.org,https://www.arcofcentralalabama.org/,Alabama
The Arc of Clarke County,Local,501 Forest Ave,Jackson,AL,36545-3623,(251) 246-3000,ashley.rumbley@thearcofclarke.com,http://www.thearcofclarke.com,Alabama
The Arc of Cullman County,Local,1807 Beech Ave SE,Cullman,AL,35055-5462,(256) 737-1915,cmorris@cccdd.com,,Alabama
The Arc of Arizona,State,PO Box 83434,Phoenix,AZ,85071,(602) 234-2721,kristi@arcarizona.org,http://www.arcarizona.org/,Arizona
Chandler/Gilbert Arc,Local,3250 N San Marcos Pl,Chandler,AZ,85225-7789,(480) 892-9422,dvtc1983@outlook.com,http://www.cgarc.org/,Arizona
Douglas Arc,Local,PO Box 252,Douglas,AZ,85608-0252,(520) 364-7473,Dvtc1983@outlook.com,,Arizona
Mohave County Arc,Local,2050 Airway Ave,Kingman,AZ,86409-3643,(928) 757-1758,mohavecountyarc@yahoo.com,http://mohavecountyarc.org,Arizona
Northeastern Pinal County Arc,Local,316 W. Alden Rd,Kearny,AZ,85137,(520) 363-5581,mkenyonarc@gmail.com,,Arizona
Santa Cruz County Arc,Local,91 E La Castellana Dr,Nogales,AZ,85621,(520) 287-2043,marina.galhouse@gmail.com,,Arizona
The Arc of Maricopa County,Local,20715 North Pima Road,Suite 108,Scottsdale,,,,,Arizona
The Arc of Tempe,Local,PO Box 26014,Tempe,AZ,85285-6014,(480) 205-9169,rstrom@tempearc.org,,Arizona
"The Arc of Tucson, Inc.",Local,PO Box 44324,Tucson,AZ,85733-4324,(520) 570-1295,sisterkel@msn.com,http://www.arcoftucson.org/,Arizona
The Arc of Yuma County,Local,,Yuma,AZ,85366,(928) 580-1368,thearcofyuma@outlook.com,,Arizona
YES The Arc,Local,PO Box 1061,Cottonwood,AZ,86326-1061,(928) 634-2049,andrew.young@yesthearc.org,http://www.yesthearc.org,Arizona
The Arc of California,State,455 Capitol Mall,Suite 325,Sacramento,,(916) 552-6619,jordan@thearcca.org,http://www.thearcca.org,California
Alpha Resource Center of Santa Barbara,Local,4501 Cathedral Oaks Rd,Santa Barbara,CA,93110-1340,(805) 683-2145,dbarthelmess@alphasb.org,http://www.alphasb.org,California
Arc – San Bernardino Area,Local,796 E 6th St,San Bernardino,CA,92410-4532,(909) 884-6484,arcschoolofhope@verizon.net,,California
Arc Taft,Local,204 Van Buren Street,Taft,CA,93268,(661) 763-1532,maryann4arc@gmail.com,http://www.arctaft.com,California
BARC,Local,2240 S Union Ave,Bakersfield,CA,93307-4158,(661) 834-2272,tgray@barc-inc.org,http://www.barc-inc.org/,California
Bayberry Inc.,Local,1700 Second St. Suite 350,Napa,CA,94559,(707) 252-6845,lsplourde@bayberry.biz,,California
Desert Arc,Local,73255 Country Club Dr,Palm Desert,CA,92260-2309,(760) 346-1611,rbalocco@desertarc.org,http://www.desertarc.org,California
MADRES UNIDAS PARA UNA MENDOTA CON IGUALDAD OF Arc,Local,P.O. Box 801,Mendota,CA,93640,(559) 567-5139,MadresMUMI2018@yahoo.com,,California
The Arc – Solano,Local,3272 Sonoma Blvd Ste 4,Vallejo,CA,94590-2918,(707) 552-2935,smartinez@thearcsolano.org,http://www.thearcsolano.org,California
The Arc Imperial Valley,Local,PO Box 1828,El Centro,CA,92244-1828,(760) 352-0180,arcinfo@arciv.org,http://www.arciv.org/,California
The Arc Los Angeles and Orange Counties,Local,12049 Woodruff Ave,Downey,CA,90241-5603,(562) 803-4606,admin@thearclaoc.org,http://www.thearclaoc.org,California
