contractingProcedureType,publicationDate,ccp,contracted,contracting,initialContractualPrice,objectBriefDescription,signingDate,id
Ajuste Direto Regime Geral,11-06-2025,False,"Caiado&Filhos II, Lda",União das Freguesias de Alcoutim e Pereiro,"13.871,79 €",Aquisição de caixilharia para continuação de requalificação de espaço do edifício da Delegação,15-05-2025,11513101
Ajuste Direto Regime Geral,11-06-2025,False,"Filipe de Jesus Ramos & Filhos, Lda.",Município de Ponte de Sor,"18.776,11 €",Aquisição de medalhas de ouro com o brasão do Município de Ponte de Sor ,09-06-2025,11513100
Ajuste Direto Regime Geral,11-06-2025,False,"DOUBLE OUT - EVENTS, Lda",Município de Sabugal,"10.400,00 €",Aquisição de Apresentação de Espetáculo no âmbito – S. João – Festas da Cidade S. João 2025 quarta feira 18 de junho Los Romeros,04-06-2025,11513099
Ajuste Direto Regime Geral,11-06-2025,False,"Sarstedt - Técnico Laboratório, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","70,00 €","MICROTUBOS SAFE-LOCK TRANSPARENTE 1,5 ML",21-04-2025,11513096
Ajuste Direto Regime Geral,11-06-2025,False,JOHNSON & JOHNSON LDA.,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","128,40 €",SUTURA SINT.ABS.RAP.MULT.2/0 AG.LANC.26MM,31-03-2025,11513095
Ajuste Direto Regime Geral,11-06-2025,False,"LAB. PFIZER, LDA.","Unidade Local de Saúde do Alto Alentejo, E. P. E.","747,00 €",Medicamentos,17-04-2025,11513094
Ajuste Direto Regime Geral,11-06-2025,False,becton dickinson,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","1.350,00 €",ADCM 1369/25 MATERIAL CONSUMO CLINICO,27-03-2025,11513093
Ajuste Direto Regime Geral,11-06-2025,False,"PINTO & CRUZ - ENERGIAS E SISTEMAS, S.A.","Unidade Local de Saúde de Coimbra, E. P. E.","28.140,00 €",COMPRESSOR PARA CHILLER,04-06-2025,11513092
Ajuste Direto Regime Geral,11-06-2025,False,"SANDOZ FARMACÊUTICA, LDA.","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","83,30 €",Carbonato de cálcio 875 mg + Lactogluconato de cálcio 1132 mg Comp eferv,25-03-2025,11513091
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,Labesfal,"Unidade Local de Saúde de Entre o Douro e Vouga, E. P. E.","2.368,00 €","1396/2025-Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2022/0019 - Medicamentos antipsicóticos, anestésicos e relaxantes musculares, 2022/0055 - Medicamentos diversos, 2023/030...",25-03-2025,11513089
Ajuste Direto Regime Geral,11-06-2025,False,O.M.L  ÓTICA MÉDICA DA LOUSÃ,Delegação Regional do Algarve,"19.500,00 €","C-EFPI - PR2025442/178 - Aquisição de serviços de cedência temporária de espaço formativo para o desenvolvimento de diversas ações de formação, a realizar em Lousã",09-06-2025,11513087
Consulta Prévia,11-06-2025,False,Asnet,"Agrupamento de Escolas André Soares, Braga","31.919,50 €",Aquisição De Material Informático – kits Digitais e carregador de portáteis,11-06-2025,11513085
Ajuste Direto Regime Geral,11-06-2025,False,Ambienti D'Interni Lda,Município de Vila Velha de Ródão,"4.560,00 €",produção e montagem de cubos para exposição de fotografia na Feira dos Sabores do Tejo 2025.,11-06-2025,11513084
Ajuste Direto Regime Geral,11-06-2025,False,Skabilities Consulting Unipessoal. Lda.,"Agrupamento de Escolas de Carvalhos, Vila Nova de Gaia","9.900,00 €",Consultoria Pessoas 2030,09-06-2025,11513081
Ajuste Direto Regime Geral,11-06-2025,False,"Normax - Fábrica de Vidros Científicos, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","133,50 €",TUBOS CONICOS 50 ML ESTEREIS,21-04-2025,11513080
Concurso público,11-06-2025,False,Adelino Pedro Lda,"CP-Comboios de Portugal, E.P.E.","127.496,30 €",Aquisição de lubrificantes para o Material Circulante da CP,10-01-2025,11513079
Ajuste Direto Regime Geral,11-06-2025,False,KRKA FARMACEUTICA,"Unidade Local de Saúde do Alto Alentejo, E. P. E.","171,54 €",Medicamentos,17-04-2025,11513078
Ajuste Direto Regime Geral,11-06-2025,False,"Dimor Lusitana, Lda","Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","8,50 €",AGULHA BUTTERFLY 25G,31-03-2025,11513077
Ajuste Direto Regime Geral,11-06-2025,False,José Manuel dos Reis Peixe,Município de Évora,"12.442,48 €",FORNECIMENTO DE REFEIÇÕES AOS TRABALHADORES DO MUNICÍPIO - EDIFÍCIO PAÇOS DO CONCELHO,09-06-2025,11513076
Ajuste Direto Regime Geral,11-06-2025,False,INOVEMED – PRODUTOS FARMACEUTICOS,"Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.","674,00 €",Tioguanina 40 mg Comp,25-03-2025,11513075
Ajuste Direto Regime Geral,11-06-2025,False,"Medtronic Portugal, Lda","Unidade Local de Saúde de Gaia/Espinho, E. P. E.","1.468,80 €",Monof. c polipro. 50 ag. Lanc. 38 circ. 16 mm fio de 45 cm azul       ,18-06-2024,11513074
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,MERCK SHARP DOHME,"Unidade Local de Saúde do Médio Ave, E.P.E.","78.963,00 €",Aquisição ao abrigo do AQ 2022/13 para as instituições do SNS,19-03-2025,11513073
Ao abrigo de acordo-quadro (art.º 259.º),11-06-2025,False,"Janssen-Cilag Farmacêutica, Lda.","Unidade Local de Saúde de Entre o Douro e Vouga, E. P. E.","33.980,00 €","1396/2025-Convite à apresentação de propostas ao abrigo do(s) acordo(s)-quadro 2022/0019 - Medicamentos antipsicóticos, anestésicos e relaxantes musculares, 2022/0055 - Medicamentos diversos, 2023/030...",25-03-2025,11513071
Ajuste Direto Regime Geral,11-06-2025,False,"JANSSEN CILAG FARMACEUTICA, LDA.","Unidade Local de Saúde do Alto Alentejo, E. P. E.","502,00 €",Medicamentos,17-04-2025,11513070
Consulta Prévia,11-06-2025,False,"Know-How - S.M.A.T, Lda","Serviço de Saúde da Região Autónoma da Madeira, EPERAM (SESARAM, EPERAM)","4.750,56 €",TIRAS REACTIVAS,11-06-2025,11513067
