country,date_text,source_feed,source_portal,summary,title,url
Ghana,,,Ministry of Roads & Highways - Road Works,(GHA),Ghana Highway Authority,https://mrh.gov.gh/agencies/ghana-highway-authority/
Ghana,,,Ministry of Roads & Highways - Road Works,(DUR),Department of Urban Roads,https://mrh.gov.gh/agencies/department-of-urban-roads/
Ghana,,,Ministry of Roads & Highways - Road Works,DFR,Department of Feeder Roads,https://mrh.gov.gh/agencies/department-of-feeder-roads/
Ghana,,,Ministry of Roads & Highways - Road Works,"The Ministry of Roads & Highways has the mandate of policy formulation, sector coordination and oversight, sector performance monitoring and evaluation in the broad areas of Road Infrastructure Development and Maintenance, Road Maintenance Financing and Training/Capacity Building.",Annual Performance Report,https://mrh.gov.gh/publications/annual-performance-report/
Ghana,,,Ministry of Roads & Highways - Road Works,"The Ministry of Roads & Highways has the mandate of policy formulation, sector coordination and oversight, sector performance monitoring and evaluation in the broad areas of Road Infrastructure Development and Maintenance, Road Maintenance Financing and Training/Capacity Building.",Statistical Reports,https://mrh.gov.gh/publications/statistical-reports/
Ghana,,,Ministry of Roads & Highways - Road Works,"The government is set to construct a 3.6km bridge over the River Afram in the Eastern Region, along with approximately […]",Currently browsing: Bridges,https://mrh.gov.gh/category/bridges/
Ghana,,,Ministry of Roads & Highways - Road Works,"The government is set to construct a 3.6km bridge over the River Afram in the Eastern Region, along with approximately […]",Currently browsing: Road Works,https://mrh.gov.gh/category/road-works/
Ghana,,,Ministry of Roads & Highways - Road Works,"Work is progressing steadily on the construction of 4 major bridges in the Savanna and Northern Regions. The bridges are located at Buipe,Yapei, Daboya and Nawunu.","Hon Agbodza inspects work on Buipe, Yapei Bridges",https://mrh.gov.gh/hon-agbodza-inspects-work-on-buipe-yapei-bridges/
Ghana,,,Ministry of Roads & Highways - Road Works,"The Minister of Finance, Dr. Cassiel Ato Forson has announced that government has issued commencement authorization for key road Infrastructure […]",Currently browsing: Project Commissioning,https://mrh.gov.gh/category/project-commissioning/
Ghana,,,Ministry of Roads & Highways - Road Works,"Work is progressing steadily on the construction of 4 major bridges in the Savanna and Northern Regions. The bridges are located at Buipe,Yapei, Daboya and Nawunu.","Hon Agbodza inspects work on Buipe, Yapei Bridges",https://mrh.gov.gh/hon-agbodza-inspects-work-on-buipe-yapei-bridges/#respond
Ghana,,,Ministry of Roads & Highways - Road Works,"President Nana Addo Dankwa Akufo-Addo has cut the sod for the construction of a four-tier interchange at Suame in Kumasi, with the declaration that the government is working assiduously to improve urban mobility in the city and the Ashanti Region at large.",President Cut Sod for Suame Interchange Project,https://mrh.gov.gh/president-cut-sod-for-suame-interchange-project/
