name,url,phone,email
Holiday Inn Express & Suites Huntsville West - Research PK,https://www.ihg.com/holidayinnexpress/hotels/us/en/huntsville/hsvpp/hoteldetail,"0080090033049, 12568377171",hsvpp@yahoo.com
Holiday Inn Express & Suites Gadsden W-Near Attalla,https://www.ihg.com/holidayinnexpress/hotels/us/en/gadsden/gadsn/hoteldetail,"0080090033049, 12566910225",gm.gadsn@mjchospitality.com
Holiday Inn Express & Suites McCalla - Birmingham West,https://www.ihg.com/holidayinnexpress/hotels/us/en/mccalla/bhmmc/hoteldetail,"0080090033049, 12055840857",gm@hix-mccalla.com
Holiday Inn Express & Suites Birmingham - Homewood,https://www.ihg.com/holidayinnexpress/hotels/us/en/birmingham/bhmcd/hoteldetail,"0080090033049, 12058487911",
Holiday Inn Express & Suites Tuscaloosa East,https://www.ihg.com/holidayinnexpress/hotels/us/en/tuscaloosa/tclid/hoteldetail,"0080090033049, 12056321888",tclidfrontdesk@gmail.com
Holiday Inn Express Jasper,https://www.ihg.com/holidayinnexpress/hotels/us/en/jasper/bhmja/hoteldetail,"0080090033049, 12053878383",hiexjasper@gmail.com
Hotel Indigo Orange Beach - Gulf Shores,https://www.ihg.com/hotelindigo/hotels/us/en/orange-beach/orbit/hoteldetail,"0080090033049, 12519811737, ++1-251-981-1737","FrontDesk@beachindigo.com, cori@beachindigo.com"
Holiday Inn Express & Suites Tuscaloosa-University,https://www.ihg.com/holidayinnexpress/hotels/us/en/tuscaloosa/tclmb/hoteldetail,"0080090033049, 12054644000",brittany@hiebama.com
Staybridge Suites Auburn – University Area,https://www.ihg.com/staybridge/hotels/us/en/auburn/auocs/hoteldetail,"13345918300, 0080090033049, ++1-334-5918300","gm@staybridgeauburn.com, dos@staybridgeauburn.com"
Candlewood Suites Huntsville - Research Park,https://www.ihg.com/candlewood/hotels/us/en/huntsville/hsvhs/hoteldetail,"0080090033049, 12562101570",gm.hsvhs@yedla.net
