id,name,city,country,street,postalCode,email,website,phone,formattedPhone,contacturl,latitude,longitude,sectors,services
16f73572eb2417f0a28237cbb910538b,J.R. Brisson Equipment,Stittsville,Canada," Jinkinson Rd, Ottawa 495",ONK2S1B9,info@tobroco.com,,16138360654,16138360654,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=16f73572eb2417f0a28237cbb910538b,45.227474,-75.9858651,"Agrarisch, Bouw & Infra, Groen",
7f7c0d1ee5849b5d84b32d0323cd49c8,Midwestern Equipment,Listowel,Canada," ON-23, Listowel 8592",ONN4W3G6,,,+15192912697,+15192912697,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=7f7c0d1ee5849b5d84b32d0323cd49c8,43.7386127,-80.9475504,"Agrarisch, Bouw & Infra, Groen",Wielladers
97e859d73a3e954a579509ede4777d43,Oneida New Holland,Caledonia,Canada," 4th Line, Caledonia 634",ONN3W2B3,'tom@oneidanewholland.com,,18006546454,18006546454,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=97e859d73a3e954a579509ede4777d43,43.0433068,-80.0491932,"Agrarisch, Bouw & Infra, Groen",Wielladers
14d3dc4eb4acacc6f41a0c892a48b3d5,AGRAVIS Technik Saltenbrock GmbH - Beelen,Beelen,Germany,Westkirchener Str.  25,48361,Matthias.Kuhlmann@agravis.de,,49258693240,49258693240,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=14d3dc4eb4acacc6f41a0c892a48b3d5,51.9277444,8.1091003,Agrarisch,
03aeed0e4b434f35871936dc07389375,BayWa AG - Filiale Auerbach in der Oberpfalz,Auerbach in der Oberpfalz,Germany,Dornbacher Str.  1,91275,andreas.stoecklein@baywa.de,,49 9643 922756,49 9643 922756,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=03aeed0e4b434f35871936dc07389375,49.6941809,11.6373461,Agrarisch,Wielladers
bd37adc783ce3b7e535b2a8b0f8c667a,BayWa AG - Filiale Bad Brückenau,Bad Brückenau,Germany,Römershager Str.  6,97769,andreas.stoecklein@baywa.de,,49 9741 8050,49 9741 8050,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=bd37adc783ce3b7e535b2a8b0f8c667a,50.3169475,9.8054658,Agrarisch,Wielladers
29759,A.Leiser AG - Filiale Fahrni bei Thun,Fahrni,Zwitserland, ,3617,info@leiserag.ch,,+41 62 749 50 40,+41 62 749 50 40,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=29759,46.7975777,7.6548202,"Agrarisch, Bouw & Infra, Groen",
effd39e72e8be6d40e7953b4e8bced18,BayWa AG - Filiale Bopfingen,Bopfingen,Germany,Bahnhofstraße  23,73441,marcel.eigl@baywa.de,,49 7362 804137,49 7362 804137,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=effd39e72e8be6d40e7953b4e8bced18,48.8543974,10.356255,Agrarisch,Wielladers
29746,A.Leiser AG - Filiale Fenkrieden,Sins,Zwitserland,Oberrüterstrasse 3,5645,info@leiserag.ch,,+41 62 749 50 40,+41 62 749 50 40,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=29746,47.1647187,8.3699106,"Agrarisch, Bouw & Infra, Groen",
fefcd74089ec52586bc10b3aabcf8870,BayWa AG - Filiale Ditzingen-Heimerdingen,Ditzingen,Germany,Raiffeisenweg  5,71254,marcel.eigl@baywa.de,,49 7152 995034,49 7152 995034,https://www.tobroco-giant.com/nl/contacteer-dealer?dealer=fefcd74089ec52586bc10b3aabcf8870,48.8500923,8.9842159,Agrarisch,Wielladers
