businessUnitId,displayName,paysForExtraFeatures,claimed,numberOfReviews,stars,contact.website,contact.phone,contact.email,location.address,location.city,location.zipCode,trustScore,categories
5e69cc5371876d00014e3a8c,Petz Park,True,True,7541,5.0,https://petzpark.com.au,1300 041 608,bark@petzpark.com.au,A1/35-39 Bourke Rd,Alexandria,2015,4.8,"Veterinarian, Dog Park, Pet Store, Pet Supply Store, Dog Day Care Center"
636a17e5be8e22c679db606e,Leadr Pet,True,True,117,4.5,http://leadrpet.com,,hello@leadrpet.com,58 City Road Chippendale,Sydney,2008,4.7,"Pet Store, Dog Park, Dog Day Care Center, Pet Supply Store, Veterinarian"
6544a3ce18d36c1d5d90fbe1,VetChat,False,True,85,5.0,http://vetchat.com.au,,service@vetchat.com.au,VetChat,Melbourne ,3124,4.9,Veterinarian
5efc889f172df70001640d50,Save Our Wildlife Foundation Inc,False,True,47,4.5,http://save-our-wildlife.org.au,08 7120 6610,team@save-our-wildlife.org.au, 67 Wilpena Terrace,Aldgate,5154,4.7,"Wildlife Refuge, Animal Rescue Service"
53b3aada000064000579041f,VetShopMax,False,True,120,4.0,http://www.vetshopmax.com,,info@vetshopmax.com,,,,4.1,"Pharmacy, Veterinarian, Pet Store, Hobby Store"
613c81e007226d001d53cdb4,Dial A Vet,False,True,4,4.0,http://www.dialavet.com,,support@dialavet.com.au,,,,4.0,Veterinarian
62f087165a57dde6d418b907,Aussie Dog Lovers,False,True,154,3.5,http://aussiedoglovers.com.au,1800 364 568,admin@aussiedoglovers.com.au,Airds Road,Campbelltown,2560,3.7,"Pet Adoption Service, Pet Store, Pet Groomer, Pet Supply Store, Animal Rescue Service, Veterinarian"
640033d136a7240c56e65e5e,Healedpets,False,True,1,3.5,http://healedpets.com.au,,,,,,3.7,Animal Rescue Service
5d52b2e202d3aa00017278f3,Sage Vets,False,True,15,2.0,http://sagevets.com.au,(08) 6166 6329,contact@sagevets.com.au,Wheatley Drive 81,Bull Creek,6149,2.2,"Veterinarian, Pet Boarding Service, Cat Hostel"
618066f1b29e5665f513dbd2,Mittagongvet,False,True,0,0.0,http://mittagongvet.com.au,0248722028,vets@mittagongvet.com.au,109 Main Street,Mittagong,2575,0.0,Veterinarian
