FILER,NAME
002,JF MORAN CO INC
004,CEVA INTERNATIONAL INC
008,PORT BROKERS INC
012,SHANNON BROKERAGE CO
016,TRANS OVERSEAS CORPORATION
020,JAGRO CUSTOMS BROKERS & INTERNATION
024,EXPORT IMPORT SERVICES INC
031,B & D CUSTOMHOUSE BROKERS INC
032,AJ ARANGO
036,E SIDNEY STOCKWELL CO INC
037,W F WHELAN CO
038,A  & A LTD
040,MKC CUSTOMS BROKERS INTL
045,SCHMIDT PRITCHARD & CO INC
046,JAGRO AIR SERVICES INC
051,INTERNATIONAL SPECIALISTS INC
056,LESCHACO INC
062,TOTAL LOGISTICS RESOURCE INC
065,OCEANLAND SERVICE INC
066,D HAUSER INC
071,WILLIAM B SKINNER INC
073,AMANA EXPRESS INTERNATIONAL INC
081,VIMAR
082,WILLIAMS CLARKE COMPANY INC
084,CHARLES HAPPEL INC
101,KUEHNE & NAGEL INC
102,LUND & PULLARA INC
106,WILLIAM A MCGINTY CO
107,JAMES M WOLTMANN
109,SJ STILE ASSOCIATES LTD
112,FEDEX TRADE NETWORKS TRANSPORT & BR
114,HW ROBINSON & CO INC
115,TRANS-WORLD SHIPPING SERVICE INC
116,VALLS INTERNATIONAL(HOUSTON) INC
118,ABELARDO A SALINAS INC
120,CAMELOT CO
125,DJS INTERNATIONAL SERVICES INC
140,JG EBERLEIN & CO INC
146,A&J CUSTOMS BROKERS INC
156,PW BELLINGALL INC
158,MARINE AIR LAND INTERNATIONAL SERVI
163,PLS CUSTOM HOUSE BROKER INC
164,PATRICK POWERS CUSTOMS BROKERS INC
165,PORTSIDE CUSTOMS SERVICE INC
174,G MENDEZ & CO INC
175,NORMAN KRIEGER INC
176,KAMINO AIR IMPORT CORP
178,HECNY BROKERAGE SERVICES INC
182,DOLLIFF & COMPANY
186,BCB INTERNATIONAL INC
188,ANDERSON SHIPPING CO
190,AIR-SEA FORWARDERS INC
196,MONTGOMERY INTERNATIONAL
199,IMPORT SERVICES CO
201,AGILITY LOGISTICS CORP
202,JACK LEWIN ASSOC INC
212,SCHMIDT PRITCHARD SERVICES INC
217,RICHARD L JONES TECATE INC
218,RICHARD L JONES CALEXICO INC
224,LE COPPERSMITH INC
228,DANIEL B HASTINGS INC
231,EXPEDITORS INTERNATIONAL
234,CORBETT INTERNATIONAL INC
235,CLEARFREIGHT INC
237,BRUZZONE SHIPPING INC
238,BRAUNER INTERNATIONAL CORP
239,BARTEL SHIPPING CO INC
241,AMERICAN SHIPPING CO INC
248,OCEANAIR INC
250,INTERNATIONAL FREIGHT SERVICES INC
251,CV INTERNATIONAL INC
252,CARSON M SIMON CO
253,AIRSCHOTT INC
254,JEAN D DUNCAN INC
256,JOSE G FLORES
259,LIBRADO PINA INC
261,R E DELGADO INC
264,RICHARD L JONES
267,MID AMERICA OVERSEAS INC
274,TOH INTERNATIONAL INC
275,C-AIR INTERNATIONAL INC
277,PERRYMAN MOJONIER COMPANY
281,MAGIC CUSTOMS BROKERS INC
286,YUSEN LOGISTICS (AMERICAS) INC
287,OWENS WORLD AIR INC
300,LIVINGSTON INTERNATIONAL INC
302,MERIDIAN CUSTOMS BROKERS INC
304,MITTELSTAEDT GALAVIZ & MYLIN INC
309,PAGE & JONES INC
